pl_name,hostname,ra,dec,sy_dist,disc_year,discoverymethod,disc_facility,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_insol,st_teff,sy_pnum,method,survey,has_distance,kepler_offset_deg,x_pc,y_pc,z_pc,within_2000_pc
HD 2039 b,HD 2039,6.0851069,-56.649988,85.6922,2002,Radial Velocity,Anglo-Australian Telescope,12.7,1999.1507,1120.0,210.84,0.3229,5945.0,1,Radial Velocity,Radial Velocity,True,119.12861795812779,46.84,4.99,-71.58,True
HAT-P-8 b,HAT-P-8,343.0414932,35.4471778,211.553,2008,Transit,HATNet,15.6926,406.8224,3.07634,1713.0,1519.9645,6200.0,1,Transit,Other transit,True,40.42803406836367,164.85,-50.27,122.69,True
K2-43 b,K2-43,169.117028,-3.9754405,182.536,2016,Transit,K2,4.51,18.5,3.471149,939.3,49.0,3840.6,2,Transit,K2,True,114.89108634205934,-178.82,34.38,-12.66,True
Kepler-1753 b,Kepler-1753,288.236664,46.6058744,707.688,2021,Transit,Kepler,2.22678077,5.59,16.00460052,583.0,27.41,5180.0,1,Transit,Kepler,True,2.707156621539009,152.15,-461.77,514.24,True
Kepler-1176 b,Kepler-1176,297.919724,45.2742038,864.699,2016,Transit,Kepler,2.45,6.57,24.1738579,595.0,26.087,5844.0,1,Transit,Kepler,True,5.194906962018621,284.92,-537.67,614.35,True
K2-126 b,K2-126,203.5467021,-13.5769705,102.953,2017,Transit,K2,1.97,4.54,7.385655,601.0,35.3,4339.0,1,Transit,K2,True,97.45249274343428,-91.74,-39.98,-24.17,True
Kepler-1263 b,Kepler-1263,286.483626,46.7526182,664.83,2016,Transit,Kepler,1.14,1.55,4.55139967,907.0,144.813,5213.0,1,Transit,Kepler,True,3.6912848199894888,129.25,-436.79,484.26,True
Kepler-1416 b,Kepler-1416,298.6634624,43.8940593,949.59,2016,Transit,Kepler,0.88,0.615,1.49514952,1870.0,2658.55,6019.0,1,Transit,Kepler,True,5.76283153783706,328.23,-600.44,658.38,True
Kepler-1542 c,Kepler-1542,285.7284757,42.6544651,399.114,2016,Transit,Kepler,0.65,0.208,2.89223021,1287.0,786.082,5564.0,4,Transit,Kepler,True,4.0244820587950745,79.57,-282.54,270.43,True
K2-85 b,K2-85,59.464829,18.4649505,97.2179,2016,Transit,K2,1.4,3.2,0.68453862616,1355.0,800.0,4232.0,1,Transit,K2,True,101.6483398895229,46.85,79.42,30.79,True
Kepler-368 c,Kepler-368,291.880018,45.3878419,770.978,2014,Transit,Kepler,3.88,14.3,72.379334,575.0,28.681,5502.0,2,Transit,Kepler,True,1.235193017262918,201.78,-502.46,548.84,True
K2-123 b,K2-123,134.4441404,21.4532748,161.555,2017,Transit,K2,2.76,8.05,30.951524,338.0,2.9,4035.0,1,Transit,K2,True,110.5567098811505,-105.29,107.35,59.09,True
Kepler-770 b,Kepler-770,286.4904589,38.374872,930.457,2016,Transit,Kepler,2.3,5.9,18.92540274,1171.0,27.736,5598.0,3,Transit,Kepler,True,6.876500948281914,207.06,-699.44,577.63,True
Kepler-1399 b,Kepler-1399,293.3116962,46.0416516,1385.7,2016,Transit,Kepler,1.25,2.1,1.638653058,1610.0,1707.252,5735.0,1,Transit,Kepler,True,2.4167054201556346,380.64,-883.34,997.49,True
Kepler-723 b,Kepler-723,284.8304434,44.6580932,1071.8,2016,Transit,Kepler,12.19,,4.082275068,1016.0,251.48,5539.0,1,Transit,Kepler,True,4.1591798024222015,195.14,-736.99,753.34,True
K2-107 b,K2-107,284.985355,-22.2934206,685.2,2017,Transit,K2,15.98,266.9772,3.313959,1649.0,1291.4267,6061.0,1,Transit,K2,True,66.99535547482104,163.93,-612.42,-259.93,True
K2-45 b,K2-45,169.6327547,-1.7740582,495.317,2016,Transit,K2,6.71,36.4,1.7292684,1073.56,100.0,4103.0,1,Transit,K2,True,112.90696513207936,-487.0,89.09,-15.33,True
K2-365 b,K2-365,238.8197061,-21.0269691,187.222,2022,Transit,K2,2.906,8.78,23.448172,,,5561.0,1,Transit,K2,True,80.8053729705092,-90.48,-149.51,-67.18,True
K2-127 b,K2-127,207.0782895,-11.5889878,709.999,2017,Transit,K2,8.37,52.9,3.588163,809.0,105.6,4575.0,1,Transit,K2,True,93.59942486990477,-619.29,-316.61,-142.63,True
K2-195 b,K2-195,199.8315191,-8.5095364,315.014,2018,Transit,K2,3.13,9.96,15.852975,720.0,66.6667,5713.0,2,Transit,K2,True,96.54585479621231,-293.07,-105.69,-46.61,True
K2-80 c,K2-80,59.037486,13.5590288,200.802,2016,Transit,K2,1.47,2.76,5.605,1002.42,166.0,5441.0,3,Transit,K2,True,105.43130763967106,100.43,167.39,47.08,True
K2-229 c,K2-229,186.8729195,-6.7218474,102.564,2018,Transit,K2,2.03,7.0,8.32727,750.0,66.0,5315.0,2,Transit,K2,True,104.53260893357857,-101.13,-12.19,-12.01,True
HAT-P-3 b,HAT-P-3,206.0940142,48.028565,134.554,2007,Transit,HATNet,10.53646,206.5895,2.8997,1189.0,176.587,5185.0,1,Transit,Other transit,True,55.51251076390892,-80.81,-39.58,100.04,True
WASP-32 b,WASP-32,3.9617073,1.2005122,275.994,2010,Transit,SuperWASP,10.76064,835.8929,2.71866,1388.0,616.33,6140.0,1,Transit,Other transit,True,77.31096261727004,275.27,19.06,5.78,True
WASP-24 b,WASP-24,227.2154975,2.343286,322.114,2010,Transit,SuperWASP,15.46842,394.1092,2.34121,1772.0,934.465,6075.0,1,Transit,Other transit,True,69.68473180582053,-218.61,-236.21,13.17,True
Kepler-65 c,Kepler-65,288.6887221,41.1511076,303.728,2012,Transit,Kepler,2.58,5.4,5.859944,1246.0,609.992,6211.0,4,Transit,Kepler,True,3.649298033691307,73.28,-216.64,199.87,True
TrES-2 b,TrES-2,286.8085258,49.3164211,215.32,2006,Transit,TrES,15.24424,473.5667,2.47063,1466.0,903.864,5850.0,1,Transit,Other transit,True,5.48869336800563,40.59,-134.37,163.28,True
Kepler-939 b,Kepler-939,293.8656181,47.0268148,2093.62,2016,Transit,Kepler,1.75,3.71,14.878296,692.0,54.19,5471.0,1,Transit,Kepler,True,3.370604795055556,577.41,-1305.1,1531.84,False
Kepler-1028 b,Kepler-1028,289.5931004,49.7812447,607.916,2016,Transit,Kepler,1.33,2.33,2.51462432,1217.0,519.636,5522.0,1,Transit,Kepler,True,5.331334586423164,131.63,-369.81,464.2,True
HAT-P-67 b,HAT-P-67,256.6107279,44.7768849,371.686,2017,Transit,HATNet,23.9872187,143.02278315,4.8101069,1903.0,2029.17,6640.0,1,Transit,Other transit,True,24.055292186442347,-61.1,-256.67,261.8,True
Kepler-1101 b,Kepler-1101,294.5693544,45.6711623,742.473,2016,Transit,Kepler,2.47,6.66,81.3151059,393.0,3.577,5614.0,1,Transit,Kepler,True,2.993608623962382,215.72,-471.85,531.12,True
Kepler-1388 b,Kepler-1388,283.3360156,47.1744499,453.795,2016,Transit,Kepler,2.59,7.22,12.2854603,434.0,17.674,4098.0,4,Transit,Kepler,True,5.761847762256005,71.15,-300.16,332.83,True
